case_id,animalname,symptom,first_aid_advice,emergency
13,dog,abdominal pain,"Keep your dog calm and restrict movement. Don’t give new foods or table scraps. If pain is strong or keeps getting worse, contact a veterinarian urgently.",yes
32,dog,allergic reaction,This symptom requires veterinary assessment. Please contact a veterinarian.,no
31,dog,anaemia,This symptom requires veterinary assessment. Please contact a veterinarian.,no
12,dog,back pain,This symptom requires veterinary assessment. Please contact a veterinarian.,no
29,dog,blindness,This symptom requires veterinary assessment. Please contact a veterinarian.,no
8,dog,bloody drool,This symptom requires veterinary assessment. Please contact a veterinarian.,no
5,dog,blue eye,This symptom requires veterinary assessment. Please contact a veterinarian.,no
4,dog,breathing difficulty,"Move your dog to a cool, quiet place and reduce stress. Do not force exercise or restrain the chest or neck. If breathing is labored or gasping, seek emergency vet care.",yes
6,dog,breathing difficulty,"Move your dog to a cool, quiet place and reduce stress. Do not force exercise or restrain the chest or neck. If breathing is labored or gasping, seek emergency vet care.",yes
9,dog,breathing difficulty,"Move your dog to a cool, quiet place and reduce stress. Do not force exercise or restrain the chest or neck. If breathing is labored or gasping, seek emergency vet care.",yes
20,dog,breathing difficulty,"Move your dog to a cool, quiet place and reduce stress. Do not force exercise or restrain the chest or neck. If breathing is labored or gasping, seek emergency vet care.",yes
22,dog,breathing difficulty,"Move your dog to a cool, quiet place and reduce stress. Do not force exercise or restrain the chest or neck. If breathing is labored or gasping, seek emergency vet care.",yes
38,dog,breathing difficulty,"Move your dog to a cool, quiet place and reduce stress. Do not force exercise or restrain the chest or neck. If breathing is labored or gasping, seek emergency vet care.",yes
45,dog,breathing difficulty,"Move your dog to a cool, quiet place and reduce stress. Do not force exercise or restrain the chest or neck. If breathing is labored or gasping, seek emergency vet care.",yes
47,dog,breathing difficulty,"Move your dog to a cool, quiet place and reduce stress. Do not force exercise or restrain the chest or neck. If breathing is labored or gasping, seek emergency vet care.",yes
50,dog,breathing difficulty,"Move your dog to a cool, quiet place and reduce stress. Do not force exercise or restrain the chest or neck. If breathing is labored or gasping, seek emergency vet care.",yes
52,dog,breathing difficulty,"Move your dog to a cool, quiet place and reduce stress. Do not force exercise or restrain the chest or neck. If breathing is labored or gasping, seek emergency vet care.",yes
53,dog,breathing difficulty,"Move your dog to a cool, quiet place and reduce stress. Do not force exercise or restrain the chest or neck. If breathing is labored or gasping, seek emergency vet care.",yes
56,dog,breathing difficulty,"Move your dog to a cool, quiet place and reduce stress. Do not force exercise or restrain the chest or neck. If breathing is labored or gasping, seek emergency vet care.",yes
